Customer ID,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data
0812-WUPTB,Offer E,Yes,49.6,No,Yes,Fiber Optic,13,No,No,No,No,No,No,No,Yes
0813-TAXXS,None,Yes,26.3,Yes,Yes,DSL,23,No,No,Yes,No,Yes,Yes,Yes,Yes
0815-MFZGM,None,Yes,1.31,No,Yes,Fiber Optic,17,No,No,Yes,Yes,Yes,Yes,Yes,Yes
0816-TSPHQ,None,Yes,27.67,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0817-HSUSE,None,Yes,5.63,No,Yes,Cable,52,No,No,Yes,Yes,Yes,Yes,Yes,Yes
0818-OCPZO,None,Yes,42.91,Yes,Yes,Fiber Optic,5,No,Yes,No,No,No,No,No,Yes
0820-FNRNX,Offer D,Yes,29.87,Yes,Yes,DSL,53,No,Yes,Yes,Yes,No,No,No,Yes
0822-GAVAP,Offer E,No,0,No Info,Yes,DSL,76,No,No,No,No,No,Yes,Yes,Yes
0822-QGCXA,Offer C,Yes,3.43,Yes,Yes,DSL,21,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0823-HSCDJ,None,No,0,No Info,Yes,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No
0824-VWDPO,None,Yes,1.57,Yes,Yes,Fiber Optic,30,Yes,Yes,No,No,No,Yes,Yes,Yes
0825-CPPQH,None,Yes,39.44,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0827-ITJPH,Offer C,Yes,8.5,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0829-DDVLK,None,Yes,9.74,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0829-XXPLX,None,Yes,30.52,No,Yes,Fiber Optic,21,Yes,No,Yes,No,Yes,No,No,Yes
0831-JNISG,Offer A,Yes,23.34,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0835-DUUIQ,None,Yes,47.31,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0835-JKADZ,None,Yes,41.92,Yes,Yes,Fiber Optic,53,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0836-SEYLU,Offer E,No,0,No Info,Yes,DSL,26,No,No,No,Yes,Yes,No,No,Yes
0839-JTCUD,None,Yes,36.36,Yes,Yes,Cable,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0839-QNXME,None,Yes,9.27,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0840-DCNZE,Offer B,Yes,36.78,No,Yes,DSL,25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0840-DFEZH,None,Yes,25.17,Yes,Yes,Fiber Optic,17,No,No,No,No,No,No,No,Yes
0841-NULXI,None,No,0,No Info,Yes,DSL,26,No,No,No,No,No,Yes,Yes,Yes
0842-IWYCP,None,Yes,40.32,No,Yes,Cable,51,No,No,No,No,No,No,No,Yes
0843-WTBXE,None,Yes,16.43,Yes,Yes,Fiber Optic,29,No,No,No,No,Yes,No,No,Yes
0847-HGRML,None,Yes,24.48,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0848-SOMKO,None,No,0,No Info,Yes,DSL,26,Yes,No,Yes,Yes,No,Yes,Yes,Yes
0848-ZGQIJ,Offer D,Yes,10.5,No,Yes,Fiber Optic,2,No,Yes,No,No,Yes,Yes,Yes,Yes
0851-DFJKB,None,Yes,30.54,No,Yes,DSL,11,Yes,No,Yes,Yes,No,No,No,Yes
0853-NWIFK,None,Yes,1.03,No,Yes,Fiber Optic,47,Yes,Yes,No,No,Yes,Yes,Yes,Yes
0853-TWRVK,None,Yes,6.15,Yes,Yes,Fiber Optic,5,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
0854-UYHZD,None,Yes,42.23,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0856-NAOES,Offer E,Yes,45.67,No,Yes,DSL,71,No,No,Yes,No,Yes,No,No,Yes
0859-YGKFW,Offer D,Yes,28.06,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0862-PRCBS,None,Yes,16.09,Yes,Yes,Fiber Optic,53,No,Yes,No,Yes,Yes,Yes,Yes,Yes
0864-FVJNJ,Offer B,Yes,6.83,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
0866-QLSIR,Offer C,Yes,34.41,Yes,Yes,DSL,4,Yes,Yes,No,Yes,No,No,No,Yes
0867-LDTTC,None,Yes,45.69,No,Yes,Cable,4,No,No,Yes,Yes,Yes,Yes,Yes,Yes
0867-MKZVY,None,Yes,36.6,Yes,Yes,Fiber Optic,51,Yes,No,No,No,No,No,Yes,Yes
0868-VJRDR,None,Yes,4.76,No,Yes,Fiber Optic,8,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
0869-PAPRP,None,Yes,46.24,No,Yes,Fiber Optic,4,No,No,Yes,No,Yes,No,No,Yes
0870-VEMYL,Offer E,Yes,24.32,No,Yes,Cable,22,Yes,No,No,Yes,No,No,No,No
0871-OPBXW,Offer E,Yes,6.85,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0871-URUWO,None,Yes,30.55,Yes,Yes,Fiber Optic,28,No,No,Yes,No,Yes,Yes,Yes,Yes
0872-CASZJ,Offer B,Yes,20.5,Yes,Yes,Cable,53,Yes,No,No,Yes,No,Yes,Yes,Yes
0872-JCPIB,Offer D,Yes,47.45,Yes,Yes,DSL,5,Yes,No,No,No,No,Yes,Yes,Yes
0872-NXJYS,None,Yes,45.41,No,Yes,Fiber Optic,23,No,No,No,No,No,Yes,Yes,Yes
0875-CABNR,None,Yes,16.85,No,Yes,Fiber Optic,30,No,No,Yes,No,No,Yes,Yes,Yes
0876-WDUUZ,Offer E,Yes,43.51,No,Yes,Fiber Optic,17,No,No,No,Yes,No,Yes,Yes,Yes
0877-SDMBN,None,Yes,43.47,Yes,Yes,Fiber Optic,82,Yes,No,Yes,No,Yes,Yes,Yes,Yes
0880-FVFWF,Offer B,Yes,37.15,Yes,Yes,Fiber Optic,13,Yes,Yes,No,No,No,No,No,Yes
0880-TKATG,Offer E,Yes,9.56,Yes,Yes,Fiber Optic,48,No,No,Yes,No,Yes,Yes,Yes,Yes
0883-EIBTI,None,Yes,28.02,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0885-HMGPY,Offer B,Yes,41.13,Yes,Yes,Cable,12,Yes,Yes,Yes,Yes,No,No,No,Yes
0886-QGENL,None,Yes,45.82,No,Yes,Fiber Optic,13,Yes,No,Yes,No,Yes,Yes,No,Yes
0887-HJGAR,Offer E,Yes,5.55,No,Yes,DSL,13,No,No,No,No,No,No,No,Yes
0887-WBJVH,Offer B,Yes,38.35,No,Yes,Fiber Optic,82,No,No,No,Yes,Yes,Yes,Yes,Yes
0895-DQHEW,None,Yes,35.46,Yes,Yes,Fiber Optic,23,No,Yes,Yes,No,Yes,Yes,Yes,Yes
0895-LMRSF,None,Yes,46.4,No,Yes,Cable,23,No,No,No,No,Yes,Yes,Yes,No
0895-LNKRC,Offer E,Yes,1.57,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0895-UADGO,None,No,0,No Info,Yes,Cable,4,Yes,No,No,Yes,No,Yes,Yes,Yes
0897-FEGMU,Offer D,Yes,31.08,Yes,Yes,Fiber Optic,26,No,No,Yes,No,Yes,Yes,Yes,Yes
0898-XCGTF,None,Yes,21.96,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,Yes,Yes
0899-LIIBW,None,Yes,33.55,Yes,Yes,Fiber Optic,41,No,No,Yes,No,Yes,Yes,Yes,Yes
0899-WZRSD,None,Yes,37.99,Yes,Yes,Fiber Optic,24,Yes,No,No,Yes,Yes,Yes,Yes,Yes
0902-RFHOF,None,Yes,22.23,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0902-XKXPN,None,Yes,23.55,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0906-QVPMS,Offer A,Yes,35.71,Yes,Yes,Fiber Optic,58,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0907-HQNTS,Offer A,Yes,46.2,Yes,Yes,Fiber Optic,14,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
0909-SDHNU,None,No,0,No Info,Yes,Cable,19,Yes,No,No,No,No,No,No,Yes
0909-SELIE,None,Yes,43.48,Yes,Yes,DSL,20,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
0913-XWSCN,Offer B,Yes,41.89,Yes,Yes,Fiber Optic,52,No,No,No,No,No,Yes,Yes,Yes
0916-KNFAJ,Offer B,Yes,4.69,Yes,Yes,Cable,4,Yes,No,Yes,No,No,Yes,Yes,Yes
0916-QOFDP,None,Yes,14.39,Yes,Yes,Fiber Optic,30,No,No,No,No,Yes,Yes,No,Yes
0917-EZOLA,None,Yes,6.03,Yes,Yes,Fiber Optic,2,No,Yes,Yes,No,Yes,Yes,No,Yes
0921-OHLVP,Offer D,Yes,11.46,Yes,Yes,Fiber Optic,16,No,No,No,No,No,Yes,Yes,Yes
0923-PNFUB,Offer E,Yes,46.36,No,Yes,Fiber Optic,4,No,Yes,No,No,Yes,No,No,Yes
0924-BJCRC,Offer B,Yes,24.68,Yes,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,No,No
0925-VYDLG,None,Yes,17.87,Yes,Yes,Fiber Optic,25,No,No,No,No,No,No,No,Yes
0927-CNGRH,None,Yes,30.63,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0927-LCSMG,Offer E,Yes,21.58,No,Yes,Fiber Optic,71,No,No,Yes,No,No,No,Yes,No
0928-JMXNP,Offer E,No,0,No Info,Yes,DSL,5,No,No,Yes,No,No,No,No,Yes
0928-XUTSN,None,Yes,44.99,No,Yes,Fiber Optic,27,No,No,No,No,No,Yes,Yes,Yes
0929-HYQEW,None,Yes,17.42,No,Yes,DSL,59,Yes,No,No,No,No,No,No,Yes
0929-PECLO,Offer B,Yes,41.8,Yes,Yes,Fiber Optic,16,No,No,Yes,No,No,Yes,Yes,Yes
0930-EHUZA,None,Yes,44.87,No,Yes,Cable,8,Yes,Yes,Yes,Yes,Yes,No,No,Yes
0931-MHTEM,None,Yes,34.27,No,Yes,Fiber Optic,20,Yes,Yes,No,No,Yes,Yes,Yes,Yes
0932-YIXYU,None,Yes,8.85,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0936-NQLJU,Offer B,Yes,8.44,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0939-EREMR,Offer D,Yes,25.33,No,Yes,Cable,27,No,No,Yes,Yes,No,No,No,No
0939-YAPAF,Offer C,Yes,10.49,Yes,Yes,Fiber Optic,17,No,No,Yes,No,Yes,Yes,Yes,Yes
0940-OUQEC,Offer D,Yes,17.07,Yes,Yes,Fiber Optic,3,No,Yes,No,No,No,No,No,No
0942-KOWSM,Offer C,Yes,15.94,No,Yes,DSL,53,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0943-ZQPXH,None,Yes,26.25,No,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Yes,Yes,Yes
0945-TSONX,Offer B,Yes,29.15,Yes,Yes,DSL,52,Yes,Yes,No,Yes,Yes,Yes,Yes,No
0946-CLJTI,Offer B,Yes,3.18,Yes,Yes,Fiber Optic,5,No,No,Yes,No,Yes,Yes,Yes,Yes
0946-FKYTX,Offer B,No,0,No Info,Yes,Cable,14,No,Yes,No,No,No,No,No,Yes
0947-IDHRQ,None,Yes,39.21,No,Yes,Fiber Optic,42,No,No,No,No,Yes,No,Yes,No
0947-MUGVO,None,Yes,5.37,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,Yes
0952-KMEEH,None,Yes,3.36,Yes,Yes,Fiber Optic,15,Yes,No,No,No,Yes,Yes,Yes,No
0953-LGOVU,Offer D,No,0,No Info,Yes,DSL,73,No,Yes,No,Yes,No,No,No,Yes
0956-ACVZC,None,Yes,48.97,No,Yes,Fiber Optic,42,No,No,Yes,No,Yes,Yes,Yes,No
0956-SYCWG,Offer D,Yes,33.13,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0958-YHXGP,None,Yes,30.99,No,Yes,Fiber Optic,42,No,No,No,No,No,No,No,Yes
0959-WHOKV,Offer B,Yes,6.42,Yes,Yes,Fiber Optic,48,Yes,Yes,Yes,No,No,Yes,Yes,Yes
0960-HUWBM,Offer B,Yes,39.52,Yes,Yes,Fiber Optic,57,No,No,Yes,Yes,Yes,Yes,Yes,Yes
0961-ZWLVI,None,Yes,4.76,Yes,Yes,Fiber Optic,58,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
0962-CQPWQ,None,Yes,2.41,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0963-ZBDRN,None,Yes,25.21,No,Yes,Fiber Optic,26,No,No,No,Yes,Yes,Yes,Yes,Yes
0967-BMLBD,Offer D,Yes,49.19,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0968-GSIKN,Offer E,Yes,30.6,No,Yes,Fiber Optic,27,No,No,No,No,No,No,Yes,Yes
0969-RGKCU,None,Yes,43.68,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0970-ETWGE,Offer E,Yes,42.46,No,Yes,Cable,27,No,No,No,No,Yes,Yes,Yes,Yes
0970-QXPXW,None,Yes,42.42,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0971-QIFJK,Offer A,Yes,39.78,Yes,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0973-KYVNF,None,Yes,43.12,No,Yes,Cable,22,Yes,Yes,Yes,No,Yes,No,No,Yes
0975-UYDTX,Offer C,Yes,25.63,Yes,Yes,DSL,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0975-VOOVL,None,No,0,No Info,Yes,DSL,22,No,Yes,No,No,No,No,No,Yes
0979-MOZQI,None,No,0,No Info,Yes,Cable,4,No,No,No,Yes,Yes,No,No,Yes
0979-PHULV,Offer A,Yes,48.8,Yes,Yes,Fiber Optic,26,No,No,Yes,No,Yes,Yes,Yes,Yes
0980-FEXWF,Offer C,Yes,4.62,No,Yes,DSL,19,No,No,Yes,No,No,No,No,Yes
0980-PVMRC,None,No,0,No Info,Yes,DSL,52,No,Yes,No,No,Yes,Yes,Yes,Yes
0983-TATYJ,None,Yes,48.09,No,Yes,DSL,9,No,No,No,Yes,No,No,No,Yes
0988-AADSA,Offer A,Yes,9.72,Yes,Yes,Cable,15,Yes,Yes,Yes,Yes,No,Yes,Yes,No
0988-JRWWP,None,Yes,41.38,No,Yes,DSL,5,No,No,No,No,Yes,No,No,Yes
0991-BRRFB,None,Yes,20.86,No,Yes,DSL,3,Yes,No,No,No,No,No,No,Yes
0993-OSGPT,None,Yes,40.55,No,Yes,DSL,20,No,Yes,Yes,Yes,No,No,No,Yes
0997-YTLNY,Offer D,Yes,4.03,No,Yes,Cable,26,No,No,No,Yes,No,No,No,Yes
0999-QXNSA,None,Yes,41.14,No,Yes,DSL,17,No,No,No,No,No,No,No,Yes
1000-AJSLD,None,Yes,4.11,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1004-NOZNR,Offer B,Yes,10.57,No,Yes,Fiber Optic,28,Yes,No,No,No,Yes,Yes,No,Yes
1009-IRMNA,Offer E,Yes,16.04,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1010-DIAUQ,Offer E,Yes,20.86,No,Yes,Fiber Optic,8,No,No,Yes,No,Yes,Yes,Yes,Yes
1013-QCWAM,Offer A,Yes,28.06,Yes,Yes,Fiber Optic,20,No,Yes,No,No,Yes,Yes,No,Yes
1015-JPFYW,None,Yes,49.16,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1015-OWJKI,None,Yes,5.02,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1016-DJTSV,Offer E,Yes,41.85,No,Yes,Fiber Optic,5,No,No,No,No,No,No,No,Yes
1017-FBQMM,Offer B,Yes,15.05,Yes,Yes,Fiber Optic,23,No,Yes,No,Yes,Yes,Yes,Yes,Yes
1020-JPQOW,None,Yes,2.8,Yes,Yes,Fiber Optic,20,No,Yes,Yes,Yes,No,No,No,No
1022-RKXDR,None,Yes,32.66,Yes,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1023-BQXZE,None,Yes,24.67,No,Yes,DSL,42,Yes,No,Yes,No,Yes,Yes,Yes,Yes
1024-GUALD,Offer E,No,0,No Info,Yes,DSL,29,No,No,No,No,No,No,Yes,Yes
1024-KPRBB,Offer C,Yes,30.09,No,Yes,Fiber Optic,18,No,No,No,No,Yes,Yes,Yes,No
1024-VRZHF,Offer D,Yes,21.58,Yes,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes
1025-FALIX,None,Yes,37.51,No,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes
1027-LKKQQ,None,Yes,12.96,No,Yes,DSL,56,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
1028-FFNJK,Offer C,Yes,48.02,Yes,Yes,Fiber Optic,24,No,No,No,Yes,Yes,Yes,No,Yes
1029-QFBEN,None,Yes,38.44,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1031-IIDEO,Offer E,Yes,27.05,No,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes
1032-MAELW,None,Yes,7.47,Yes,Yes,DSL,29,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1035-IPQPU,None,Yes,18.14,Yes,Yes,Fiber Optic,2,No,Yes,Yes,No,Yes,Yes,Yes,Yes
1036-GUDCL,None,Yes,39.76,No,Yes,DSL,76,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
1038-RQOST,Offer D,Yes,4.7,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1038-ZAGBI,None,Yes,37.65,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1041-RXHRA,None,Yes,40.78,No,Yes,Fiber Optic,41,No,No,No,No,No,No,Yes,Yes
1042-HFUCW,Offer C,Yes,39.9,No,Yes,DSL,27,No,Yes,No,Yes,No,No,No,Yes
1043-UXOVO,Offer A,Yes,28.4,Yes,Yes,Fiber Optic,76,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1043-YCUTE,Offer B,Yes,13.2,Yes,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1045-LTCYT,None,Yes,43.05,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1047-NNCBF,None,Yes,3.8,No,Yes,Fiber Optic,26,No,No,No,No,No,No,No,No
1047-RNXZV,None,Yes,3.18,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1049-FYSYG,Offer D,No,0,No Info,Yes,DSL,23,No,Yes,Yes,No,No,No,No,Yes
1051-EQPZR,None,Yes,4.17,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1051-GEJLJ,None,Yes,27.17,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1052-QJIBV,Offer A,Yes,20.49,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1053-MXTTK,None,Yes,14.46,No,Yes,Fiber Optic,29,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1057-FOGLZ,Offer D,Yes,18.2,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1060-ENTOF,None,Yes,2.67,Yes,Yes,Fiber Optic,25,Yes,Yes,Yes,Yes,No,Yes,No,Yes
1061-PNTHC,Offer B,Yes,13.94,Yes,Yes,Fiber Optic,11,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
1062-LHZOD,None,Yes,4.99,No,Yes,Fiber Optic,28,No,No,No,No,No,No,No,Yes
1063-DHQJF,Offer A,Yes,20.32,No,Yes,Fiber Optic,56,No,Yes,No,Yes,Yes,No,No,Yes
1064-FBXNK,None,Yes,47.46,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1066-JKSGK,None,Yes,33.58,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1069-QJOEE,None,Yes,18.87,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1069-XAIEM,None,Yes,16.37,Yes,Yes,Fiber Optic,7,No,No,No,No,No,Yes,Yes,Yes
1073-XXCZD,None,Yes,12.21,Yes,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1074-AMIOH,None,Yes,43.39,No,Yes,Fiber Optic,29,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1074-WVEVG,None,Yes,31.43,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1075-BGWOH,None,Yes,15.16,Yes,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,No,Yes
1077-HUUJM,Offer E,Yes,28.5,No,Yes,Fiber Optic,13,No,No,No,No,No,No,No,No
1078-TDCRN,None,No,0,No Info,Yes,DSL,3,No,Yes,No,No,No,No,No,Yes
1080-BWSYE,None,Yes,29.43,Yes,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1084-MNSMJ,Offer B,Yes,33.93,No,Yes,DSL,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1084-UQCHV,Offer E,Yes,27.97,No,Yes,Fiber Optic,18,No,No,No,No,No,No,No,Yes
1085-LDWAM,None,Yes,23.47,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1086-LXKFY,Offer E,Yes,16.55,No,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes
1087-GRUYI,Offer C,Yes,6.97,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1087-UDSIH,Offer E,Yes,13.28,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1088-AUUZZ,Offer B,Yes,37.58,Yes,Yes,DSL,26,Yes,Yes,No,Yes,No,Yes,Yes,Yes
1088-CNNKB,None,Yes,34.02,Yes,Yes,DSL,18,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1089-HDMKP,None,Yes,11.86,No,Yes,Cable,23,No,Yes,No,Yes,No,No,No,Yes
1089-XZWHH,None,Yes,46.3,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1090-ESELR,Offer A,Yes,27.25,No,Yes,Fiber Optic,19,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
1090-PYKCI,Offer A,Yes,23.02,Yes,Yes,Fiber Optic,48,Yes,Yes,Yes,Yes,Yes,No,No,No
1091-SOZGA,None,Yes,42.37,Yes,Yes,Fiber Optic,71,No,No,Yes,No,Yes,Yes,Yes,Yes
1092-GANHU,None,Yes,30.61,No,Yes,Fiber Optic,7,No,No,Yes,No,No,No,No,Yes
1092-WPIVQ,Offer D,Yes,39.56,Yes,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1093-YSWCA,Offer D,Yes,17.12,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1094-BKOSX,None,No,0,No Info,Yes,Cable,19,No,Yes,Yes,Yes,No,Yes,Yes,Yes
1095-JUDTC,None,Yes,14.22,Yes,Yes,Fiber Optic,11,No,Yes,No,Yes,Yes,No,No,Yes
1095-WGNGG,None,Yes,17.49,Yes,Yes,Fiber Optic,21,No,Yes,No,No,Yes,Yes,Yes,Yes
1096-ADRUX,None,Yes,37.84,Yes,Yes,Fiber Optic,17,No,No,No,No,No,No,No,Yes
1097-FSPVW,Offer B,Yes,32.16,No,Yes,DSL,8,Yes,No,Yes,No,No,No,No,Yes
1098-KFQEC,None,Yes,27.75,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1098-TDVUQ,Offer E,Yes,9.44,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1099-BTKWT,Offer A,No,0,No Info,Yes,DSL,11,Yes,No,Yes,No,Yes,Yes,Yes,Yes
1099-GODLO,None,Yes,30.09,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1100-DDVRV,None,No,0,No Info,Yes,DSL,52,No,Yes,No,No,Yes,Yes,Yes,Yes
1101-SSWAG,None,Yes,31.13,Yes,Yes,DSL,5,No,No,No,No,No,No,No,Yes
1104-FEJAM,None,Yes,9.31,Yes,Yes,DSL,19,No,Yes,No,No,No,Yes,Yes,Yes
1104-TNLZA,Offer C,Yes,24.35,Yes,Yes,Fiber Optic,15,No,Yes,No,Yes,Yes,Yes,Yes,Yes
1106-HRLKZ,Offer B,Yes,22.96,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1110-KYLGQ,None,Yes,5.17,Yes,Yes,Fiber Optic,16,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
1112-CUNAO,Offer D,Yes,4.28,Yes,Yes,Fiber Optic,6,No,Yes,No,No,No,Yes,No,Yes
1113-IUJYX,None,Yes,5.63,No,Yes,Fiber Optic,23,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
1114-CENIM,None,Yes,6.7,Yes,Yes,Cable,16,No,Yes,No,No,No,No,No,Yes
1116-DXXDF,None,Yes,37.94,No,Yes,Fiber Optic,19,Yes,No,Yes,No,Yes,Yes,Yes,Yes
1116-FRYVH,None,No,0,No Info,Yes,DSL,52,Yes,Yes,No,Yes,No,No,No,No
1120-BMWUB,Offer D,Yes,6.86,No,Yes,DSL,8,No,Yes,No,Yes,No,No,No,No
1121-QSIVB,Offer B,Yes,5.07,Yes,Yes,DSL,26,No,Yes,No,No,Yes,Yes,Yes,Yes
1122-JWTJW,None,Yes,37.68,No,Yes,Fiber Optic,26,No,No,No,No,No,No,No,Yes
1122-YJBCS,Offer A,Yes,14.18,No,Yes,DSL,16,Yes,Yes,No,No,No,No,No,Yes
1125-SNVCK,None,Yes,35.65,No,Yes,DSL,3,No,No,No,No,No,No,No,Yes
1131-ALZWV,Offer C,Yes,42.66,Yes,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1131-QQZEB,Offer A,Yes,30.72,Yes,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1131-SUEKT,Offer B,Yes,41.57,No,Yes,Fiber Optic,21,No,Yes,No,Yes,Yes,Yes,Yes,Yes
1133-KXCGE,Offer D,Yes,18.8,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
1134-YWTYF,Offer C,Yes,41.48,No,Yes,DSL,15,No,Yes,No,Yes,No,No,No,Yes
1135-HIORI,Offer B,Yes,39.37,Yes,Yes,Fiber Optic,53,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
